date_heure	date	heure	H_cumul	Traitement	BAC	Ligne	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	CD1	CD2	CD3	CD4	CD5	CD6	CD7	CD8	CD9	CD10	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10
7/3/10 18:00	07/03/2010	18:00	0	Laisse_de_mer	Laisse_de_mer_1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ANC	NA	NA	NA	NA	NA	NA	NA	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8	CP9	CP10	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
7/3/10 18:00	07/03/2010	18:00	0	Laisse_de_mer	Laisse_de_mer_1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ANC	ANC	NA	NA	NA	NA	NA	NA	NA	NA	CP11	CP12	CP13	CP14	CP15	CP16	CP17	CP18	CP19	CP20	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
7/3/10 18:00	07/03/2010	18:00	0	Laisse_de_mer	Laisse_de_mer_1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ANC	NA	NA	NA	NA	NA	CP21	CP22	CP23	CP24	CP25	CP26	CP27	CP28	CP29	CP30	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
7/3/10 18:00	07/03/2010	18:00	0	Laisse_de_mer	Laisse_de_mer_1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CP31	CP32	CP33	CP34	CP35	CP36	CP37	CP38	CP39	CP40	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
7/3/10 18:00	07/03/2010	18:00	0	Laisse_de_mer	Laisse_de_mer_1	L5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ANC	NA	NA	NA	NA	NA	CP41	CP42	CP43	CP44	CP45	CP46	CP47	CP48	CP49	CP50	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
7/3/10 18:00	07/03/2010	18:00	0	Laisse_de_mer	Laisse_de_mer_1	L6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ANC	NA	NA	NA	NA	NA	CP51	CP52	CP53	CP54	CP55	CP56	CP57	CP58	CP59	CP60	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
7/3/10 18:00	07/03/2010	18:00	0	Laisse_de_mer	Laisse_de_mer_1	L7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CP61	CP62	CP63	CP64	CP65	CP66	CP67	CP68	CP69	CP70	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
8/3/10 8:30	08/03/2010	8:30	14	Laisse_de_mer	Laisse_de_mer_1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8	CP9	CP10	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
8/3/10 8:30	08/03/2010	8:30	14	Laisse_de_mer	Laisse_de_mer_1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CP11	CP12	CP13	CP14	CP15	CP16	CP17	CP18	CP19	CP20	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
8/3/10 8:30	08/03/2010	8:30	14	Laisse_de_mer	Laisse_de_mer_1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ANC	ANC	ANC	NA	NA	NA	NA	NA	NA	NA	CP21	CP22	CP23	CP24	CP25	CP26	CP27	CP28	CP29	CP30	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
8/3/10 8:30	08/03/2010	8:30	14	Laisse_de_mer	Laisse_de_mer_1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ANC	NA	NA	NA	NA	NA	NA	NA	NA	NA	CP31	CP32	CP33	CP34	CP35	CP36	CP37	CP38	CP39	CP40	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
8/3/10 8:30	08/03/2010	8:30	14	Laisse_de_mer	Laisse_de_mer_1	L5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ANC	NA	ANC	NA	NA	NA	NA	NA	NA	CP41	CP42	CP43	CP44	CP45	CP46	CP47	CP48	CP49	CP50	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
8/3/10 8:30	08/03/2010	8:30	14	Laisse_de_mer	Laisse_de_mer_1	L6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ANC	NA	NA	NA	NA	NA	NA	NA	NA	CP51	CP52	CP53	CP54	CP55	CP56	CP57	CP58	CP59	CP60	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
